2019-09-09T07:12:13+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:14+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:25+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:34+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:37+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:39+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:39+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:59+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

